attribute,country,value,entity_code,income_group,econ_region,geo_region
"Quality of math and science education, 1-7 (best)",Thailand,3.8016613,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Thailand,4.5996623,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Thailand,47.504967,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Thailand,10.688351,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Thailand,49.24382,THA,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Trinidad and Tobago,4.5726447,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Trinidad and Tobago,95.23794,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Trinidad and Tobago,4.2130823,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Trinidad and Tobago,4.751118,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Trinidad and Tobago,4.0748076,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Trinidad and Tobago,73.29694,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Trinidad and Tobago,18.941185,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Trinidad and Tobago,182.80827,TTO,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Tunisia,3.6842997,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Tunisia,98.56518,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Tunisia,3.0839274,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Tunisia,4.5561123,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Tunisia,3.5407336,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Tunisia,50.879677,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Tunisia,5.6480536,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Tunisia,31.166815,TUN,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Turkey,3.1351523,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Turkey,94.13807,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Turkey,3.1772792,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Turkey,3.3090842,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Turkey,4.089436,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Turkey,58.347733,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Turkey,13.5506,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Turkey,68.0581,TUR,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Uganda,2.798935,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Uganda,93.65028,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Uganda,3.3928113,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Uganda,3.142756,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Uganda,3.1098797,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Uganda,21.876171,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Uganda,0.26106486,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Uganda,5.509905,UGA,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Ukraine,4.60347,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Ukraine,96.17551,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Ukraine,3.8621233,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Ukraine,4.8412714,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Ukraine,4.8032784,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Ukraine,52.481808,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Ukraine,11.986527,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Ukraine,79.88464,UKR,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",United Arab Emirates,5.3987975,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",United Arab Emirates,93.375,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",United Arab Emirates,5.2796674,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",United Arab Emirates,5.342373,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",United Arab Emirates,5.828802,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",United Arab Emirates,90.600006,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,United Arab Emirates,13.29981,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",United Arab Emirates,133.74869,ARE,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",United Kingdom,5.048193,GBR,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",United Kingdom,99.85433,GBR,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",United Kingdom,4.673985,GBR,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",United Kingdom,4.5744524,GBR,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",United Kingdom,5.7022324,GBR,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",United Kingdom,94.7758,GBR,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,United Kingdom,39.179565,GBR,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",United Kingdom,449.13693,GBR,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",United States,5.5263247,USA,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",United States,93.75419,USA,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",United States,5.6206417,USA,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",United States,5.445422,USA,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",United States,5.872986,USA,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",United States,76.176735,USA,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,United States,32.369606,USA,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",United States,126.54528,USA,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Uruguay,3.432847,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Uruguay,94.21768,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Uruguay,2.7035823,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Uruguay,2.9570227,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Uruguay,5.6029563,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Uruguay,66.4,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Uruguay,26.78953,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Uruguay,96.70738,URY,High income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Venezuela,2.7606096,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Venezuela,89.85675,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Venezuela,2.564359,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Venezuela,2.817506,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Venezuela,3.324545,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Venezuela,60.0,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Venezuela,8.232715,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Venezuela,18.936954,VEN,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Viet Nam,3.422507,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Viet Nam,97.96511,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Viet Nam,3.6331913,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Viet Nam,3.7378256,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Viet Nam,4.0593495,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Viet Nam,46.5,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Viet Nam,9.910908,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Viet Nam,91.25237,VNM,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Yemen,2.3747318,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Yemen,84.83733,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Yemen,2.2852006,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Yemen,2.4355104,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Yemen,1.5918367,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Yemen,24.579208,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Yemen,1.6486044,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Yemen,5.4760284,YEM,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Zambia,3.3552282,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Zambia,87.40411,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Zambia,3.7507162,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Zambia,3.6648252,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Zambia,3.2033834,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Zambia,25.506578,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Zambia,0.19823019,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Zambia,3.9247422,ZMB,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Zimbabwe,4.1918607,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Zimbabwe,85.86239,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Zimbabwe,4.0458307,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Zimbabwe,4.1465964,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Zimbabwe,3.1821864,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Zimbabwe,23.11999,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Zimbabwe,1.1033752,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Zimbabwe,9.1194315,ZWE,Low income,Sub-Saharan Africa,Sub-Saharan Africa
